id,address,bStatus,createTime,gMapLink,latitude,longitude,name,noOfReviews,phone,rating,site,timings,distance_from_reference_km
shviIsyT8sOd4wHYMJzO,"08, 2nd A Main, 175, Krishna layout, Devarachikkana Halli, Bengaluru, Karnataka 560076, India",OPERATIONAL,2025-07-18T11:32:40+00:00,https://maps.google.com/?cid=4291149016140343108&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,12.8871622,77.6168666,Perfect Orthotics,5,,5.0,,"Monday: 9:00 AM – 8:00 PM,Tuesday: 9:00 AM – 8:00 PM,Wednesday: 9:00 AM – 8:00 PM,Thursday: 9:00 AM – 8:00 PM,Friday: 9:00 AM – 8:00 PM,Saturday: 9:00 AM – 8:00 PM,Sunday: 9:00 AM – 8:00 PM",1741.76
si8iTkBDWtVwpw0cUkhX,"083209 82895 083209 82895, Shivalika Society, Nadiad, Gujarat 387001, India",OPERATIONAL,2025-07-18T18:32:07+00:00,https://maps.google.com/?cid=3161610900393590150&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,22.6811276,72.8688537,Maa Gayatri Ortho Care,2,+91 268 252 2551,5.0,,"Monday: 9:00 AM – 7:00 PM,Tuesday: 9:00 AM – 7:00 PM,Wednesday: 9:00 AM – 7:00 PM,Thursday: 9:00 AM – 7:00 PM,Friday: 9:00 AM – 7:00 PM,Saturday: 9:00 AM – 7:00 PM,Sunday: Closed",788.42
siSgIuHn62iFUYD5geDW,"Medlife polyclinics, 49-1/2, Akkayyapalem Main Rd, opposite lane of Sivarama Reddy Sweets, near jaggarao bridge, Srinivas Nagar, Lalitha Nagar, Akkayyapalem, Visakhapatnam, Andhra Pradesh 530016, India",OPERATIONAL,2025-07-18T19:32:29+00:00,https://maps.google.com/?cid=7058636353195038005&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,17.7325742,83.2992362,Dr. Thakkallapalli Zahid Hussain- Orthopedics in Visakhapatnam,25,,4.8,https://drthakkallapallizahidhussain.getmy.clinic/?utm_source=gmb&utm_medium=web&utm_campaign=tu,"Monday: 11:00 AM – 9:00 PM,Tuesday: 11:00 AM – 9:00 PM,Wednesday: 11:00 AM – 9:00 PM,Thursday: 11:00 AM – 9:00 PM,Friday: 11:00 AM – 9:00 PM,Saturday: 11:00 AM – 9:00 PM,Sunday: Closed",1356.19
sjMu0ZovqFAFVbtiwEA7,"232,2nd floor, Meghani Tower, Cinema Rd, Japan Market, Begampura, Surat, Gujarat 395003, India",OPERATIONAL,2025-07-18T13:32:30+00:00,https://maps.google.com/?cid=11377971828334650091&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,21.2008064,72.8385786,Orthocare implants,1,,5.0,,"Monday: 11:00 AM – 6:00 PM,Tuesday: 11:00 AM – 6:00 PM,Wednesday: 11:00 AM – 6:00 PM,Thursday: 11:00 AM – 6:00 PM,Friday: 11:00 AM – 6:00 PM,Saturday: 11:00 AM – 2:00 PM,Sunday: Closed",932.09
su6bX7Xq1vhJTefja9gQ,"New, 75, 37, Poes Rd, Subbarayan Nagar, Teynampet, Chennai, Tamil Nadu 600018, India",OPERATIONAL,2025-07-18T11:32:32+00:00,https://maps.google.com/?cid=7694728059446702638&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,13.0403275,80.2502355,Eldams Orthotic Centre,11,+91 98400 55010,4.6,https://www.eldamsorthoticcentre.com/,"Monday: 9:30 AM – 5:00 PM,Tuesday: 9:30 AM – 5:00 PM,Wednesday: 9:30 AM – 5:00 PM,Thursday: 9:30 AM – 5:00 PM,Friday: 9:30 AM – 5:00 PM,Saturday: 9:30 AM – 5:00 PM,Sunday: Closed",1752.87
suLhuYH0rkBr8mdu7y2p,"900/3 ""Saileela"",Adagra Street, near Central Bank of India, opp. Niramay Aayurvedic Hospital, Nanpura, Surat, Gujarat 395001, India",OPERATIONAL,2025-07-18T13:32:17+00:00,https://maps.google.com/?cid=17987939307421316672&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,21.1889247,72.8137577,Advanced Prosthetic & Orthotic Centre - Dr.Sameer Nanche (New Zealand Board accredited)artificial limbs & legs,54,+91 95744 88000,5.0,http://advancedprosthetica.com/,"Monday: 10:00 AM – 6:00 PM,Tuesday: 10:00 AM – 6:00 PM,Wednesday: 10:00 AM – 6:00 PM,Thursday: 10:00 AM – 6:00 PM,Friday: 10:00 AM – 6:00 PM,Saturday: 10:00 AM – 6:00 PM,Sunday: Closed",934.45
t1pWakFJBsDvrcNHWndk,"Ground Floor, KK Building, Sector 78, Sohana, Sahibzada Ajit Singh Nagar, Punjab 160055, India",OPERATIONAL,2025-07-19T15:12:15+00:00,https://maps.google.com/?cid=1177234264930408188&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,30.6910952,76.7061485,Handicare Prosthetics & Orthotics Rehabilitation Clinic(artificial leg/hand splints,40,+91 93103 04604,5.0,,"Monday: 11:00 AM – 8:00 PM,Tuesday: 11:00 AM – 8:00 PM,Wednesday: 1:00 – 8:00 PM,Thursday: 11:00 AM – 8:00 PM,Friday: 11:00 AM – 8:00 PM,Saturday: 11:00 AM – 8:00 PM,Sunday: Closed",235.34
t6gzc11rKix2wX5z7Voi,"D.no: 40-10-03, near Eenadu, Opp SBI Bank, beside ANR Kitchen Gallery Showroom, Patamata, Vijayawada, Andhra Pradesh 520010, India",OPERATIONAL,2025-07-18T23:32:28+00:00,https://maps.google.com/?cid=13470806728837287963&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,16.4970463,80.6572757,Sri Subhodaya Artificial Limb Centre,3,+91 98493 81255,4.3,,"Monday: 10:00 AM – 6:00 PM,Tuesday: 10:00 AM – 6:00 PM,Wednesday: 10:00 AM – 6:00 PM,Thursday: 10:00 AM – 6:00 PM,Friday: 10:00 AM – 6:00 PM,Saturday: 10:00 AM – 6:00 PM,Sunday: Closed",1387.65
tDDoTUPOm6jBLPCKon9r,"FF. Shop no 21/B pushp ind park Arcade Patel mil, Rakhial Rd, Rakhial, Ahmedabad, Gujarat 380021, India",OPERATIONAL,2025-07-18T12:32:47+00:00,https://maps.google.com/?cid=14411605073004611308&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,23.02202,72.621602,Dev Ortho care,1,+91 97267 21293,5.0,,"Monday: 10:00 AM – 7:30 PM,Tuesday: 10:00 AM – 7:30 PM,Wednesday: 10:00 AM – 7:30 PM,Thursday: 10:00 AM – 7:30 PM,Friday: 10:00 AM – 7:30 PM,Saturday: 10:00 AM – 7:30 PM,Sunday: Closed",771.4
tKWH1oup8tK8EuM1jIyC,"Shop No-104, Nashik Business Park, Mumbai Naka, Renuka Nagar, Nashik, Maharashtra 422001, India",OPERATIONAL,2025-07-18T20:32:18+00:00,https://maps.google.com/?cid=16577170587691947348&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,19.9877167,73.7845569,The First Step,2,+91 79779 44486,4.5,http://thefirststepprosthetic.com/,"Monday: 10:00 AM – 7:00 PM,Tuesday: 10:00 PM – 12:00 AM,Wednesday: 10:00 AM – 7:00 PM,Thursday: 10:00 PM – 12:00 AM,Friday: 10:00 PM – 12:00 AM,Saturday: 10:00 PM – 12:00 AM,Sunday: 10:00 AM – 7:00 PM",1016.56
tPZ7IqGYLZS64CdIY2y7,"109/1, B. T. Road, Subhas Pally Rd, Dunlop, Subhas Pally Park, Bonhooghly Government Colony, Kolkata, Baranagar, West Bengal 700108, India",OPERATIONAL,2025-07-18T10:58:14+00:00,https://maps.google.com/?cid=7887243636389985256&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,22.6484233,88.3781213,Ampucure Prosthetics & Orthotics,129,+91 74390 68012,5.0,https://wa.link/9r33n8,"Monday: 9:30 AM – 7:30 PM,Tuesday: 9:00 AM – 7:30 PM,Wednesday: 9:30 AM – 7:30 PM,Thursday: 9:30 AM – 7:30 PM,Friday: 9:30 AM – 7:30 PM,Saturday: 9:30 AM – 7:30 PM,Sunday: 9:30 AM – 5:30 PM",1300.88
tRNOgNVzDmTqOAuRh4G2,"496, Avinashi Road, GRAND CAG CENTRAL B-9, 1St Floor, F-7B, Nava India Rd, Coimbatore, Tamil Nadu 641004, India",OPERATIONAL,2025-07-18T17:32:17+00:00,https://maps.google.com/?cid=16599592294672547339&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,11.0180272,76.991555,PADA,75,+91 90474 74873,4.9,http://padainsoles.com/en/,"Monday: 10:00 AM – 6:30 PM,Tuesday: 10:00 AM – 6:30 PM,Wednesday: 10:00 AM – 6:30 PM,Thursday: 10:00 AM – 6:30 PM,Friday: 10:00 AM – 6:30 PM,Saturday: 10:00 AM – 6:30 PM,Sunday: Closed",1948.15
tZiMvxtxnijPZrFwW7jP,"13, RTC Colony, Tirumalagiri, Secunderabad, Telangana 500015, India",OPERATIONAL,2025-07-18T12:32:38+00:00,https://maps.google.com/?cid=889790691729664255&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,17.4730494,78.4993101,Evolution Artificial Limb Centre,17,+91 97041 22705,4.5,http://www.evolutionfoot.com/,"Monday: 10:00 AM – 6:00 PM,Tuesday: 10:00 AM – 6:00 PM,Wednesday: 10:00 AM – 6:00 PM,Thursday: 10:00 AM – 6:00 PM,Friday: 10:00 AM – 6:00 PM,Saturday: 10:00 AM – 6:00 PM,Sunday: Closed",1240.85
